token_id,image,head,eyes,core,clothing,weapon
0,https://assets.otherside.xyz/kodas/68be2758ac10ddebf36c95318e3189afe0dbe7ed34373102fe78b46085a68146.png,Pink Fluff,Sewed Wide Shut,Candy,,The Watchers Eye
1,https://assets.otherside.xyz/kodas/63960f98d58826ab11c47679d347d5c9734544b900a1613fe67fff276868e45c.png,Crystalline Helm,Tricemore,Caged Geminite,,Shards of Iridia
2,https://assets.otherside.xyz/kodas/1c473772544784436b7d7550ee9d5a117ebaef73e100adf8641ceacfb678e982.png,Arachnid,Late Night,Onyx Doom,Starry Beetle Cloak,Ravens Bite
3,https://assets.otherside.xyz/kodas/d23c0d59357e4cac151469715c369c27785b0dc8b12b88eb2e7c455ccf09a39f.png,X Ray,Pink Staredown,X Ray,,Jaws of Evercrushing
4,https://assets.otherside.xyz/kodas/86ea2edd1de0ea3f0f024b840c5f9f96d0e17b47e5e2aec739f89f48bc0bdd8e.png,Hoot,Dark Matters,Koda Bear,Degenerates Cape,Mush Clobberer
5,https://assets.otherside.xyz/kodas/ad64a682950f6c3f0a0dd70d00cf2b815de0aec8eb62250119783cb229fb34c0.png,Horned Lion,Veggie,Bubble And Toil,Oozeguardian Armor,
6,https://assets.otherside.xyz/kodas/41190a40c117b9b50efda77d0cc0fea30f7e1919cb13a3e916a2d149ba39f274.png,Dawn Disc,Furious,Husk,Fanged Cape,
7,https://assets.otherside.xyz/kodas/3ac961d50434dcb0a15fc60e2e31809e756f01452a32ba89849c38e913cbf038.png,Demon Spawn,Winged,Lava Lamp,Brawlers Outfit,Bamboospear
8,https://assets.otherside.xyz/kodas/7a335834c7b5b7ee6bdd490878eec057f85c0baa9132f2484049df9a8bf9e366.png,Tested Elder,Here And Everywhere,Amoebatopia,Bladed Carapace Armor,
9,https://assets.otherside.xyz/kodas/246116ea482a2923e0349f22060af31242fdd4fa5dfc41a82111a89208ee63f2.png,Chomp Chomp,Veggie,Onyx Doom,Unknown Beast Armor,Skulds Renown
10,https://assets.otherside.xyz/kodas/9b2de68b1bb4bf2ba91d509efa00d0221e6dbafe16b38410c92d96d67431c434.png,Jade Carapace,Dryclops,Husk,Unknown Beast Armor,
11,https://assets.otherside.xyz/kodas/cc148b7fb3e4587300be3ec359ff199049b22f0e7d3dc8f58b36864e0c1cdd2f.png,Tri Vent,Cave Fright,Carpet Gorilla,Hot Rod Bod,
12,https://assets.otherside.xyz/kodas/1b6da5a6b32d8705f42ac251c308ebd7ac42a9243de5424005e15a133a02a4dd.png,Great Kleos,Grim Bellows,Tide Roller,,Abyssal Trident
13,https://assets.otherside.xyz/kodas/f349c1fdd25dbd67008d4265031d3ecfc9416f01d7fc7d673687ce48624de390.png,Dawn Disc,Insomniac,Ivy Swirls,Fanged Cape,
14,https://assets.otherside.xyz/kodas/fda546a07700d0709a56089160834265e4ceb0d4db337c162add4ead86ed9f96.png,Blue Crown,Villainous,Onyx Doom,Direplate,
15,https://assets.otherside.xyz/kodas/f57d4f6954a708c7eabc9303263622cf78155c813828a6eafde353d432e4c75e.png,Chomp Chomp,Insomniac,Caged Geminite,Grassland Armor,
17,https://assets.otherside.xyz/kodas/a10bf658cce8c9dabe6c3cf1b0fa998ca78eaef01df2621fd105e828cc99fb30.png,Tri Vent,Peace And Love,Woodland Guardian,,
18,https://assets.otherside.xyz/kodas/5cf386bea404df2a2f555212249c2923b4f9bd687741d598063ebd3ebd4f2843.png,Drill Sergeant,Catty,Bubble And Toil,Grimace Armor,Never Bokken
